P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,Class
1.00E+00,0.00E+00,9.69E-01,9.69E-01,0.00E+00,9.69E-01,1.00E+00,9.69E-01,9.84E-01,4.47E-01,0.00E+00,1.00E+00,1.96E-01,3.92E-03,1.00E+00,9.96E-01,7.45E-02,9.73E-01,0.00E+00,1.00E+00,9.80E-01,6.27E-02,2.12E-01,0.00E+00,1.10E-01,1.00E+00,9.49E-01,9.57E-01,9.29E-01,3.88E-01,3.02E-01,9.10E-01,9.88E-01,9.45E-01,2.82E-01,7.45E-02,1.73E-01,0.00E+00,3.92E-02,2.75E-02,1.02E-01,9.69E-01,0.00E+00,3.14E-02,1.00E+00,9.76E-01,2.27E-01,2.75E-02,0.00E+00,1.00E+00,0.00E+00,9.22E-01,9.69E-01,1.33E-01,1.92E-01,9.92E-01,9.65E-01,1.00E+00,2.00E-01,0.00E+00,1.18E-02,9.10E-01,9.02E-02,9.96E-01,9.41E-01,1.33E-01,7.06E-02,1.00E+00,9.61E-01,9.57E-01,2.59E-01,1.18E-02,1.80E-01,9.29E-01,9.84E-01,9.73E-01,9.84E-01,1.37E-01,1.29E-01,9.92E-01,9.73E-01,1.00E+00,0.00E+00,9.80E-02,1.41E-01,1.00E+00,9.69E-01,1.00E+00,9.96E-01,0.00E+00,1.00E+00,1.96E-02,1.00E+00,0.00E+00,2.94E-01,0.00E+00,9.80E-02,1.00E+00,1.00E+00,8.82E-01,1.00E+00,1.00E+00,9.80E-01,1.00E+00,1.00E+00,9.73E-01,1.49E-01,9.92E-01,1.57E-02,1.00E+00,9.25E-01,1.00E+00,0.00E+00,5.10E-02,2.35E-02,9.84E-01,9.14E-01,9.65E-01,3.14E-02,6.67E-02,2.00E-01,9.57E-01,9.88E-01,9.45E-01,7.84E-02,2.12E-01,1.00E+00,9.61E-01,1.00E+00,9.92E-01,8.82E-01,2.75E-02,4.31E-02,1.00E+00,1.00E+00,9.45E-01,9.92E-01,9.84E-01,0.00E+00,9.45E-01,9.33E-01,1.00E+00,1.00E+00,8.55E-01,n
9.33E-01,1.00E+00,9.69E-01,8.94E-01,1.00E+00,1.00E+00,9.73E-01,1.00E+00,9.57E-01,1.00E+00,1.18E-02,2.75E-02,1.00E+00,9.84E-01,1.00E+00,1.00E+00,9.45E-01,8.94E-01,1.00E+00,1.00E+00,1.57E-02,8.39E-01,7.84E-03,4.71E-02,0.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,2.71E-01,1.00E+00,9.49E-01,1.00E+00,2.82E-01,4.31E-02,1.29E-01,9.41E-01,7.84E-02,8.90E-01,9.80E-01,9.76E-01,1.18E-01,9.53E-01,9.69E-01,9.53E-01,2.43E-01,0.00E+00,1.37E-01,1.00E+00,9.25E-01,1.00E+00,9.80E-01,1.22E-01,0.00E+00,1.00E+00,3.92E-02,0.00E+00,2.63E-01,1.00E+00,0.00E+00,9.65E-01,0.00E+00,1.18E-02,9.88E-01,1.06E-01,0.00E+00,9.57E-01,9.76E-01,1.00E+00,0.00E+00,0.00E+00,1.41E-01,1.00E+00,9.61E-01,9.76E-01,4.31E-02,5.88E-02,1.73E-01,1.00E+00,9.49E-01,1.00E+00,9.84E-01,1.00E+00,1.69E-01,8.94E-01,1.00E+00,9.33E-01,9.69E-01,1.65E-01,0.00E+00,9.73E-01,1.00E+00,0.00E+00,2.35E-01,1.00E+00,1.45E-01,0.00E+00,9.45E-01,1.00E+00,0.00E+00,0.00E+00,1.53E-01,9.45E-01,9.69E-01,1.00E+00,1.61E-01,3.14E-02,8.24E-02,3.53E-02,9.69E-01,1.00E+00,7.84E-03,9.41E-02,0.00E+00,1.00E+00,9.41E-01,9.76E-01,5.88E-02,0.00E+00,7.84E-03,9.18E-01,1.00E+00,8.82E-01,0.00E+00,2.63E-01,1.57E-02,0.00E+00,1.00E+00,9.69E-01,9.02E-01,3.22E-01,9.96E-01,9.53E-01,0.00E+00,1.00E+00,1.00E+00,9.33E-01,9.61E-01,9.25E-01,9.02E-01,1.00E+00,1.00E+00,8.98E-01,n
7.84E-03,0.00E+00,1.76E-01,3.92E-03,9.96E-01,9.61E-01,1.00E+00,1.00E+00,1.00E+00,0.00E+00,3.53E-02,0.00E+00,1.57E-02,9.69E-01,8.24E-01,1.00E+00,9.06E-01,5.92E-01,2.75E-02,9.53E-01,0.00E+00,9.29E-01,5.88E-02,9.88E-01,9.76E-01,1.00E+00,0.00E+00,1.57E-02,7.33E-01,1.18E-01,6.67E-02,1.18E-02,1.00E+00,9.73E-01,8.59E-01,1.06E-01,7.18E-01,9.88E-01,7.84E-03,9.80E-01,6.43E-01,1.18E-02,0.00E+00,9.88E-01,9.69E-01,9.29E-01,0.00E+00,2.75E-02,2.35E-02,0.00E+00,1.00E+00,9.92E-01,6.51E-01,3.14E-02,0.00E+00,6.75E-01,9.84E-01,9.41E-02,9.06E-01,1.00E+00,9.76E-01,3.53E-02,9.84E-01,1.00E+00,6.16E-01,0.00E+00,7.06E-02,2.35E-02,1.00E+00,8.82E-01,9.73E-01,1.00E+00,1.00E+00,0.00E+00,1.00E+00,9.33E-01,5.80E-01,5.49E-02,0.00E+00,6.16E-01,9.53E-01,1.00E+00,9.69E-01,1.00E+00,9.45E-01,2.75E-02,1.00E+00,9.76E-01,6.51E-01,0.00E+00,1.18E-02,6.75E-01,1.00E+00,7.84E-03,8.98E-01,1.00E+00,7.73E-01,9.49E-01,1.00E+00,1.00E+00,5.84E-01,0.00E+00,2.35E-02,6.67E-01,9.53E-01,1.00E+00,9.76E-01,1.22E-01,2.35E-02,9.88E-01,0.00E+00,9.14E-01,7.92E-01,3.53E-02,1.00E+00,5.88E-01,1.00E+00,9.61E-01,9.69E-01,0.00E+00,4.31E-02,9.96E-01,9.96E-01,9.76E-01,9.73E-01,0.00E+00,5.33E-01,1.00E+00,9.25E-01,1.00E+00,3.14E-02,3.92E-02,0.00E+00,1.37E-01,8.86E-01,1.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,8.63E-02,5.88E-02,0.00E+00,o
9.84E-01,1.06E-01,1.22E-01,9.80E-01,1.00E+00,9.18E-01,1.00E+00,1.00E+00,9.84E-01,9.14E-01,1.00E+00,3.92E-03,1.96E-02,3.14E-02,9.92E-01,8.59E-01,9.69E-01,6.16E-01,4.55E-01,9.84E-01,1.00E+00,1.00E+00,0.00E+00,9.96E-01,9.65E-01,0.00E+00,9.53E-01,1.00E+00,6.75E-01,3.92E-03,1.00E+00,7.61E-01,0.00E+00,4.71E-02,1.00E+00,7.84E-03,1.96E-02,1.00E+00,9.88E-01,8.98E-01,1.00E+00,0.00E+00,1.00E+00,6.08E-01,1.00E+00,8.94E-01,1.00E+00,6.75E-01,1.18E-01,8.24E-01,1.57E-02,9.76E-01,6.94E-01,7.84E-02,7.84E-03,5.10E-02,9.88E-01,1.00E+00,1.00E+00,1.00E+00,6.43E-01,9.92E-01,9.80E-01,1.00E+00,5.14E-01,0.00E+00,7.45E-02,2.59E-01,7.84E-01,1.00E+00,9.53E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.53E-01,6.47E-01,0.00E+00,3.53E-02,0.00E+00,7.29E-01,9.49E-01,9.61E-01,1.00E+00,0.00E+00,1.00E+00,9.53E-01,1.00E+00,6.59E-01,1.57E-02,0.00E+00,2.78E-01,7.76E-01,9.92E-01,9.69E-01,9.65E-01,1.00E+00,9.49E-01,0.00E+00,1.00E+00,6.08E-01,0.00E+00,1.96E-02,7.18E-01,1.00E+00,9.73E-01,9.88E-01,1.00E+00,0.00E+00,9.92E-01,2.75E-02,9.37E-01,6.55E-01,2.47E-01,1.53E-01,6.08E-01,9.57E-01,1.00E+00,9.61E-01,7.06E-02,9.02E-02,5.49E-02,9.80E-01,9.06E-01,1.00E+00,1.00E+00,8.71E-01,1.00E+00,1.00E+00,8.94E-01,8.47E-01,0.00E+00,0.00E+00,1.96E-02,1.00E+00,1.00E+00,8.98E-01,1.96E-02,9.84E-01,9.33E-01,9.25E-01,8.24E-02,2.35E-01,0.00E+00,o
1.57E-02,0.00E+00,1.00E+00,9.61E-01,1.00E+00,9.10E-01,1.96E-02,9.96E-01,1.00E+00,1.00E+00,1.18E-02,0.00E+00,4.31E-02,0.00E+00,9.80E-01,9.80E-01,9.33E-01,1.00E+00,0.00E+00,7.84E-03,9.65E-01,0.00E+00,1.00E+00,1.96E-02,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,7.45E-02,9.02E-02,9.92E-01,1.00E+00,1.00E+00,9.61E-01,7.76E-01,0.00E+00,8.59E-01,9.88E-01,1.00E+00,9.69E-01,2.75E-02,1.00E+00,7.84E-03,0.00E+00,9.88E-01,8.75E-01,9.61E-01,1.00E+00,1.00E+00,1.96E-02,1.00E+00,0.00E+00,1.96E-02,0.00E+00,1.57E-02,1.00E+00,9.57E-01,9.76E-01,9.96E-01,1.00E+00,9.53E-01,9.37E-01,0.00E+00,7.45E-02,5.88E-02,3.92E-02,5.88E-02,1.00E+00,9.14E-01,9.41E-01,9.80E-01,1.96E-02,1.00E+00,1.00E+00,9.57E-01,0.00E+00,0.00E+00,1.00E+00,2.75E-02,9.69E-01,1.00E+00,9.41E-01,3.14E-02,9.73E-01,9.76E-01,1.00E+00,1.00E+00,0.00E+00,1.18E-01,3.92E-03,3.92E-03,3.92E-03,9.76E-01,1.96E-02,9.33E-01,9.65E-01,1.00E+00,9.49E-01,8.39E-01,3.69E-01,1.57E-02,0.00E+00,2.55E-01,9.80E-01,1.00E+00,0.00E+00,1.00E+00,8.82E-01,9.61E-01,1.00E+00,1.00E+00,9.96E-01,1.02E-01,1.84E-01,0.00E+00,1.00E+00,1.00E+00,8.86E-01,9.14E-01,0.00E+00,9.53E-01,9.33E-01,9.10E-01,0.00E+00,9.84E-01,0.00E+00,1.00E+00,9.45E-01,8.59E-01,9.92E-01,0.00E+00,5.49E-02,7.84E-03,9.80E-01,9.29E-01,9.65E-01,9.88E-01,9.49E-01,9.61E-01,1.57E-02,1.00E+00,1.96E-02,1.00E+00,o
0.00E+00,3.92E-02,1.61E-01,1.00E+00,2.35E-02,9.73E-01,0.00E+00,9.92E-01,1.00E+00,2.04E-01,2.35E-02,0.00E+00,1.00E+00,9.76E-01,0.00E+00,0.00E+00,9.33E-01,1.00E+00,1.00E+00,1.00E+00,9.25E-01,0.00E+00,9.41E-02,9.76E-01,1.00E+00,1.00E+00,1.00E+00,9.73E-01,7.41E-01,3.53E-02,0.00E+00,1.00E+00,1.00E+00,1.00E+00,9.06E-01,4.31E-02,1.18E-02,9.80E-01,1.00E+00,0.00E+00,6.55E-01,1.00E+00,1.10E-01,6.00E-01,1.00E+00,9.10E-01,9.61E-01,4.31E-02,9.84E-01,9.49E-01,0.00E+00,9.80E-01,1.00E+00,1.00E+00,0.00E+00,9.88E-01,1.00E+00,9.45E-01,1.00E+00,5.76E-01,9.92E-01,9.14E-01,1.00E+00,1.00E+00,6.39E-01,3.14E-02,3.92E-03,1.00E+00,3.92E-03,9.80E-01,1.00E+00,9.61E-01,1.00E+00,0.00E+00,9.76E-01,9.80E-01,4.75E-01,4.71E-02,9.80E-02,5.29E-01,9.96E-01,9.73E-01,0.00E+00,6.35E-01,9.41E-01,1.00E+00,9.84E-01,9.76E-01,6.78E-01,1.57E-02,0.00E+00,7.02E-01,9.84E-01,1.00E+00,1.18E-02,5.49E-02,7.57E-01,9.57E-01,1.00E+00,9.33E-01,6.12E-01,7.84E-03,2.75E-02,6.31E-01,9.69E-01,9.53E-01,9.96E-01,1.33E-01,5.49E-02,1.00E+00,9.06E-01,1.00E+00,7.76E-01,1.57E-02,0.00E+00,6.86E-01,1.57E-02,1.00E+00,8.75E-01,2.35E-02,0.00E+00,9.73E-01,9.92E-01,9.02E-01,1.00E+00,5.10E-01,9.41E-02,9.10E-01,8.67E-01,9.61E-01,3.14E-02,3.92E-02,5.49E-02,3.92E-03,9.76E-01,9.84E-01,9.14E-01,9.88E-01,9.80E-01,1.00E+00,1.00E+00,1.73E-01,1.00E+00,0.00E+00,o
3.92E-03,2.35E-02,1.00E+00,1.00E+00,0.00E+00,9.37E-01,1.00E+00,9.65E-01,1.00E+00,9.29E-01,1.00E+00,0.00E+00,4.71E-02,3.14E-02,9.57E-01,0.00E+00,9.92E-01,5.76E-01,4.71E-01,1.00E+00,9.41E-01,1.00E+00,8.98E-01,0.00E+00,5.10E-02,8.31E-01,9.92E-01,9.84E-01,7.69E-01,4.31E-02,0.00E+00,3.53E-02,9.61E-01,9.41E-01,1.00E+00,8.63E-02,2.35E-02,1.00E+00,9.22E-01,1.00E+00,5.92E-01,0.00E+00,1.06E-01,5.65E-01,1.96E-02,9.96E-01,9.84E-01,6.24E-01,7.06E-02,8.71E-01,0.00E+00,9.41E-01,7.06E-01,4.71E-02,1.00E+00,6.59E-01,0.00E+00,9.76E-01,1.00E+00,7.84E-03,1.00E+00,9.80E-01,1.00E+00,9.65E-01,9.88E-01,1.18E-02,2.75E-02,3.25E-01,8.12E-01,1.00E+00,8.51E-01,1.00E+00,5.92E-01,1.00E+00,9.29E-01,4.31E-02,6.12E-01,5.49E-02,3.14E-02,0.00E+00,6.71E-01,9.88E-01,1.00E+00,9.69E-01,2.75E-02,9.69E-01,2.75E-02,9.80E-01,6.51E-01,0.00E+00,9.84E-01,3.53E-02,7.69E-01,1.00E+00,9.22E-01,9.84E-01,3.14E-02,1.00E+00,9.49E-01,1.00E+00,6.51E-01,0.00E+00,5.88E-02,6.90E-01,9.96E-01,9.69E-01,1.00E+00,7.22E-01,3.14E-02,0.00E+00,9.92E-01,0.00E+00,6.82E-01,2.35E-01,9.76E-01,1.00E+00,0.00E+00,1.00E+00,9.41E-01,7.84E-03,6.27E-02,2.75E-02,1.00E+00,1.00E+00,9.18E-01,1.00E+00,9.96E-01,1.00E+00,1.00E+00,9.22E-01,8.63E-01,1.00E+00,0.00E+00,1.14E-01,0.00E+00,1.00E+00,1.00E+00,9.65E-01,1.00E+00,8.67E-01,9.33E-01,9.76E-01,2.43E-01,0.00E+00,o
0.00E+00,3.92E-03,9.92E-01,9.76E-01,1.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,9.92E-01,9.96E-01,3.53E-02,3.92E-03,1.00E+00,9.49E-01,0.00E+00,4.71E-02,9.22E-01,1.00E+00,9.49E-01,0.00E+00,7.84E-03,9.22E-01,1.00E+00,2.75E-02,9.53E-01,9.18E-01,9.18E-01,1.00E+00,5.49E-02,1.22E-01,2.75E-02,1.00E+00,9.57E-01,1.00E+00,9.84E-01,8.00E-01,8.98E-01,1.00E+00,1.00E+00,1.96E-01,3.14E-02,9.96E-01,2.16E-01,9.76E-01,1.00E+00,1.00E+00,9.80E-01,1.00E+00,9.53E-01,1.00E+00,7.84E-03,9.92E-01,5.49E-02,0.00E+00,4.31E-02,9.92E-01,9.53E-01,9.65E-01,9.49E-01,9.80E-01,9.06E-01,0.00E+00,9.80E-01,8.24E-02,0.00E+00,9.96E-01,3.92E-02,1.00E+00,1.00E+00,9.49E-01,9.73E-01,1.00E+00,8.82E-01,1.96E-02,1.00E+00,2.35E-02,4.31E-02,1.96E-02,9.45E-01,9.06E-01,0.00E+00,9.92E-01,9.76E-01,9.65E-01,1.00E+00,9.88E-01,9.96E-01,0.00E+00,1.00E+00,1.96E-02,3.14E-02,0.00E+00,1.00E+00,9.69E-01,9.49E-01,0.00E+00,1.00E+00,9.76E-01,8.94E-01,3.22E-01,3.14E-02,0.00E+00,2.63E-01,9.69E-01,6.67E-02,9.84E-01,1.00E+00,6.67E-02,8.47E-01,1.00E+00,9.84E-01,1.00E+00,1.18E-01,9.37E-01,4.71E-02,9.92E-01,1.00E+00,0.00E+00,8.98E-01,7.84E-03,9.49E-01,9.14E-01,9.18E-01,9.84E-01,9.61E-01,1.00E+00,0.00E+00,0.00E+00,9.14E-01,9.92E-01,0.00E+00,9.10E-01,9.41E-02,9.88E-01,7.45E-02,0.00E+00,0.00E+00,9.96E-01,9.33E-01,1.00E+00,1.00E+00,0.00E+00,9.41E-02,o
0.00E+00,5.10E-02,1.84E-01,1.00E+00,9.65E-01,1.00E+00,9.25E-01,1.00E+00,9.73E-01,2.27E-01,0.00E+00,1.18E-02,1.02E-01,8.78E-01,8.75E-01,1.00E+00,9.84E-01,0.00E+00,0.00E+00,9.49E-01,2.75E-02,1.00E+00,3.14E-02,4.31E-02,9.80E-01,9.84E-01,9.73E-01,9.37E-01,6.63E-01,5.49E-02,1.49E-01,6.51E-01,9.02E-01,1.00E+00,0.00E+00,1.10E-01,7.22E-01,1.00E+00,1.00E+00,1.00E+00,6.90E-01,1.00E+00,0.00E+00,1.18E-02,1.00E+00,0.00E+00,1.00E+00,1.57E-02,0.00E+00,9.61E-01,9.61E-01,9.57E-01,9.96E-01,3.92E-03,5.10E-02,9.88E-01,9.14E-01,9.76E-01,4.31E-02,0.00E+00,1.00E+00,8.78E-01,9.61E-01,4.71E-02,3.92E-02,9.73E-01,1.00E+00,9.88E-01,9.61E-01,1.00E+00,9.61E-01,3.92E-03,9.88E-01,1.00E+00,1.00E+00,9.45E-01,5.02E-01,0.00E+00,5.88E-02,6.35E-01,1.00E+00,9.06E-01,1.00E+00,6.16E-01,9.57E-01,9.76E-01,1.00E+00,9.53E-01,3.92E-02,0.00E+00,2.75E-02,6.43E-01,9.80E-01,1.00E+00,9.57E-01,4.31E-02,0.00E+00,0.00E+00,3.92E-03,9.92E-01,6.27E-01,0.00E+00,0.00E+00,6.39E-01,1.00E+00,8.67E-01,1.00E+00,1.29E-01,1.00E+00,9.61E-01,9.65E-01,1.00E+00,7.25E-01,1.00E+00,0.00E+00,1.00E+00,9.73E-01,3.92E-03,3.92E-03,0.00E+00,9.65E-01,8.98E-01,1.00E+00,9.69E-01,9.88E-01,5.49E-01,6.35E-01,9.29E-01,0.00E+00,1.00E+00,9.25E-01,7.84E-03,7.45E-02,9.92E-01,1.00E+00,9.57E-01,9.25E-01,9.69E-01,1.00E+00,9.92E-01,1.00E+00,9.73E-01,9.80E-02,0.00E+00,o
7.84E-01,9.49E-01,9.18E-01,1.00E+00,9.61E-01,1.96E-02,9.73E-01,1.00E+00,9.57E-01,1.00E+00,4.35E-01,9.73E-01,1.02E-01,9.80E-01,1.00E+00,9.73E-01,9.45E-01,7.69E-01,4.67E-01,7.96E-01,1.00E+00,8.86E-01,8.59E-01,5.10E-02,0.00E+00,1.96E-02,0.00E+00,1.00E+00,1.00E+00,5.49E-02,8.63E-02,8.63E-02,8.04E-01,1.00E+00,1.18E-02,9.76E-01,5.88E-02,9.73E-01,1.00E+00,9.57E-01,6.39E-01,5.10E-02,0.00E+00,5.10E-02,7.37E-01,9.80E-01,9.02E-01,1.00E+00,3.92E-02,9.49E-01,1.00E+00,9.73E-01,5.02E-01,6.27E-02,6.67E-02,0.00E+00,7.53E-01,1.00E+00,9.84E-01,9.69E-01,0.00E+00,3.53E-02,8.86E-01,1.00E+00,4.71E-02,1.96E-02,0.00E+00,1.00E+00,9.49E-01,9.49E-01,9.80E-01,9.84E-01,1.00E+00,1.18E-02,3.92E-03,1.00E+00,0.00E+00,4.31E-02,0.00E+00,7.37E-01,2.75E-02,1.00E+00,9.76E-01,5.88E-02,1.57E-02,0.00E+00,9.84E-01,9.37E-01,1.57E-02,1.00E+00,9.14E-01,9.84E-01,9.96E-01,0.00E+00,1.00E+00,0.00E+00,6.27E-02,1.00E+00,1.00E+00,9.96E-01,6.94E-01,2.27E-01,9.57E-01,1.18E-02,0.00E+00,1.84E-01,1.06E-01,5.10E-02,5.49E-02,9.45E-01,1.00E+00,0.00E+00,5.25E-01,7.45E-02,0.00E+00,1.18E-02,2.75E-02,2.75E-02,0.00E+00,0.00E+00,1.73E-01,9.06E-01,9.53E-01,1.00E+00,1.06E-01,2.75E-01,1.00E+00,0.00E+00,1.57E-02,0.00E+00,9.02E-02,0.00E+00,9.73E-01,7.84E-02,9.61E-01,9.61E-01,9.22E-01,9.02E-01,2.63E-01,4.31E-02,5.10E-02,0.00E+00,1.00E+00,5.10E-02,p
7.65E-01,1.00E+00,9.33E-01,9.57E-01,7.84E-03,1.96E-02,9.49E-01,1.00E+00,7.84E-03,9.65E-01,4.35E-01,1.18E-02,1.33E-01,9.29E-01,9.22E-01,1.00E+00,1.00E+00,0.00E+00,1.00E+00,8.20E-01,9.49E-01,9.69E-01,9.29E-01,0.00E+00,0.00E+00,6.67E-02,1.00E+00,0.00E+00,6.94E-01,4.71E-02,0.00E+00,1.22E-01,8.39E-01,1.00E+00,0.00E+00,1.00E+00,3.92E-03,9.41E-01,9.84E-01,9.53E-01,7.37E-01,0.00E+00,4.31E-02,0.00E+00,7.02E-01,1.00E+00,9.80E-01,9.73E-01,1.00E+00,9.88E-01,1.00E+00,1.00E+00,5.14E-01,2.35E-02,4.31E-02,9.84E-01,9.61E-01,1.00E+00,9.37E-01,9.65E-01,0.00E+00,9.18E-01,9.53E-01,1.00E+00,7.37E-01,3.14E-02,7.84E-03,0.00E+00,7.69E-01,9.06E-01,9.88E-01,1.00E+00,8.24E-02,9.49E-01,1.00E+00,9.49E-01,9.57E-01,5.80E-01,1.41E-01,9.41E-02,9.61E-01,9.57E-01,1.18E-02,7.14E-01,0.00E+00,1.00E+00,9.49E-01,1.00E+00,0.00E+00,1.00E+00,1.18E-02,9.76E-01,1.57E-02,1.00E+00,9.96E-01,1.25E-01,4.71E-02,0.00E+00,9.88E-01,9.88E-01,1.18E-02,2.35E-02,2.24E-01,3.18E-01,1.00E+00,9.53E-01,9.80E-02,7.45E-02,1.06E-01,1.00E+00,9.76E-01,9.61E-01,5.45E-01,9.80E-02,1.18E-02,7.84E-03,0.00E+00,5.88E-02,0.00E+00,0.00E+00,1.10E-01,1.00E+00,4.71E-02,1.00E+00,7.80E-01,0.00E+00,7.84E-02,9.61E-01,6.27E-02,0.00E+00,0.00E+00,5.49E-02,1.96E-02,9.37E-01,9.88E-01,7.84E-03,9.14E-01,9.37E-01,3.33E-01,0.00E+00,0.00E+00,1.18E-02,6.67E-02,9.29E-01,p
7.37E-01,3.14E-02,7.84E-03,1.00E+00,8.63E-01,1.00E+00,2.35E-02,9.92E-01,3.92E-03,9.33E-01,4.78E-01,0.00E+00,1.29E-01,9.18E-01,1.00E+00,1.00E+00,1.00E+00,7.76E-01,1.18E-02,0.00E+00,9.65E-01,2.35E-02,8.47E-01,0.00E+00,4.71E-02,9.65E-01,9.49E-01,3.92E-03,3.92E-03,5.10E-02,9.80E-01,1.14E-01,8.04E-01,1.00E+00,9.41E-01,1.00E+00,0.00E+00,9.49E-01,1.00E+00,9.53E-01,6.00E-01,9.02E-02,0.00E+00,7.06E-02,1.00E+00,9.69E-01,9.88E-01,3.92E-03,9.41E-02,0.00E+00,0.00E+00,1.00E+00,6.51E-01,1.57E-02,3.92E-03,0.00E+00,7.45E-01,9.53E-01,9.57E-01,9.96E-01,7.06E-02,5.88E-02,9.49E-01,7.84E-03,6.51E-01,0.00E+00,3.53E-02,3.53E-02,7.69E-01,1.00E+00,1.00E+00,1.00E+00,3.53E-02,9.61E-01,0.00E+00,9.33E-01,1.00E+00,6.20E-01,1.33E-01,6.75E-01,9.10E-01,9.65E-01,2.35E-02,7.45E-01,1.00E+00,9.73E-01,9.25E-01,1.00E+00,8.75E-01,0.00E+00,1.00E+00,9.84E-01,1.00E+00,1.00E+00,1.00E+00,1.18E-02,8.63E-02,1.00E+00,9.02E-01,1.00E+00,6.67E-01,0.00E+00,2.90E-01,2.90E-01,2.94E-01,2.20E-01,7.45E-02,0.00E+00,2.35E-02,1.00E+00,0.00E+00,9.92E-01,6.27E-01,6.27E-02,2.75E-02,9.80E-01,9.92E-01,9.29E-01,6.27E-02,1.00E+00,9.88E-01,9.61E-01,9.88E-01,9.18E-01,7.69E-01,1.00E+00,9.73E-01,2.75E-02,3.92E-02,7.84E-03,5.10E-02,8.63E-02,4.71E-02,0.00E+00,5.88E-02,1.00E+00,9.96E-01,7.92E-01,1.00E+00,2.35E-02,0.00E+00,6.67E-02,9.92E-01,9.92E-01,p
0.00E+00,1.00E+00,1.00E+00,0.00E+00,9.45E-01,1.00E+00,9.45E-01,1.00E+00,1.00E+00,9.84E-01,0.00E+00,3.14E-02,1.33E-01,9.80E-01,9.88E-01,1.00E+00,0.00E+00,9.69E-01,5.10E-01,9.57E-01,8.55E-01,1.00E+00,8.67E-01,5.96E-01,0.00E+00,9.49E-01,9.73E-01,0.00E+00,8.00E-01,5.88E-02,0.00E+00,2.20E-01,8.67E-01,9.76E-01,9.88E-01,9.14E-01,1.18E-01,1.00E+00,1.14E-01,9.57E-01,6.47E-01,8.63E-02,0.00E+00,9.33E-01,0.00E+00,9.25E-01,9.69E-01,1.00E+00,9.41E-02,0.00E+00,9.29E-01,9.53E-01,0.00E+00,4.71E-02,7.45E-02,0.00E+00,7.61E-01,1.00E+00,9.25E-01,1.00E+00,8.63E-02,9.88E-01,0.00E+00,1.00E+00,0.00E+00,2.35E-02,3.92E-03,0.00E+00,1.57E-02,9.76E-01,1.00E+00,1.00E+00,7.06E-02,9.06E-01,1.00E+00,9.49E-01,9.57E-01,9.73E-01,2.39E-01,6.55E-01,1.00E+00,9.88E-01,1.00E+00,7.06E-01,8.63E-02,1.18E-02,3.92E-03,9.92E-01,9.96E-01,9.76E-01,9.22E-01,1.00E+00,9.92E-01,1.00E+00,4.67E-01,8.63E-02,7.45E-02,1.00E+00,0.00E+00,1.00E+00,6.67E-01,2.00E-01,2.16E-01,3.49E-01,2.75E-02,1.61E-01,5.49E-02,0.00E+00,7.84E-03,9.80E-01,1.00E+00,1.00E+00,5.29E-01,7.45E-02,1.00E+00,0.00E+00,0.00E+00,1.02E-01,9.45E-01,1.18E-02,1.41E-01,9.41E-01,9.92E-01,9.61E-01,9.96E-01,3.22E-01,5.88E-02,7.84E-03,3.92E-02,0.00E+00,2.35E-02,9.76E-01,7.76E-01,9.18E-01,9.57E-01,5.49E-02,1.00E+00,1.00E+00,2.90E-01,0.00E+00,9.29E-01,7.84E-03,8.24E-02,3.92E-03,p
